"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"3626",1998,"GA","Total Electric Power Industry","Nuclear",31380401
"3629",1998,"GA","Total Electric Power Industry","Petroleum",1571191
"3631",1998,"GA","Total Electric Power Industry","Wood",3078070
"3632",1998,"HI","Total Electric Power Industry","Total",10228082
"3633",1998,"HI","Total Electric Power Industry","Coal",1434868
"3634",1998,"HI","Total Electric Power Industry","Geothermal",237083
"3635",1998,"HI","Total Electric Power Industry","Hydro",121273
"3638",1998,"HI","Total Electric Power Industry","Petroleum",7851068
"3639",1998,"HI","Total Electric Power Industry","Wind",19281
"3640",1998,"IA","Total Electric Power Industry","Total",38448789
"3641",1998,"IA","Total Electric Power Industry","Coal",32999971
"3642",1998,"IA","Total Electric Power Industry","Hydro",912915
"3643",1998,"IA","Total Electric Power Industry","Natural Gas",560892
"3644",1998,"IA","Total Electric Power Industry","Nuclear",3767513
"3646",1998,"IA","Total Electric Power Industry","Petroleum",116543
"3647",1998,"IA","Total Electric Power Industry","Wind",89
"3648",1998,"IA","Total Electric Power Industry","Wood",989
"3649",1998,"ID","Total Electric Power Industry","Total",13908673
"3650",1998,"ID","Total Electric Power Industry","Coal",48120
"3651",1998,"ID","Total Electric Power Industry","Hydro",12935550
"3652",1998,"ID","Total Electric Power Industry","Natural Gas",337152
"3655",1998,"ID","Total Electric Power Industry","Petroleum",625
"3656",1998,"ID","Total Electric Power Industry","Wood",503662
"3657",1998,"IL","Total Electric Power Industry","Total",138464562
"3658",1998,"IL","Total Electric Power Industry","Coal",75355161
"3659",1998,"IL","Total Electric Power Industry","Hydro",137713
"3660",1998,"IL","Total Electric Power Industry","Natural Gas",5524342
"3661",1998,"IL","Total Electric Power Industry","Nuclear",55595668
"3665",1998,"IL","Total Electric Power Industry","Petroleum",862421
"3666",1998,"IL","Total Electric Power Industry","Wood",1229
"3667",1998,"IN","Total Electric Power Industry","Total",117471525
"3668",1998,"IN","Total Electric Power Industry","Coal",111818095
"3669",1998,"IN","Total Electric Power Industry","Hydro",478668
"3670",1998,"IN","Total Electric Power Industry","Natural Gas",2077154
"3673",1998,"IN","Total Electric Power Industry","Petroleum",1077101
"3674",1998,"KS","Total Electric Power Industry","Total",41585228
"3675",1998,"KS","Total Electric Power Industry","Coal",28023687
"3676",1998,"KS","Total Electric Power Industry","Hydro",11425
"3677",1998,"KS","Total Electric Power Industry","Natural Gas",3016797
"3678",1998,"KS","Total Electric Power Industry","Nuclear",10410718
"3679",1998,"KS","Total Electric Power Industry","Petroleum",122601
"3680",1998,"KY","Total Electric Power Industry","Total",90933028
"3681",1998,"KY","Total Electric Power Industry","Coal",86838802
"3682",1998,"KY","Total Electric Power Industry","Hydro",3116018
"3683",1998,"KY","Total Electric Power Industry","Natural Gas",497608
"3684",1998,"KY","Total Electric Power Industry","Petroleum",464948
"3685",1998,"KY","Total Electric Power Industry","Wood",15652
"3686",1998,"LA","Total Electric Power Industry","Total",89648611
"3687",1998,"LA","Total Electric Power Industry","Coal",20781530
"3688",1998,"LA","Total Electric Power Industry","Hydro",1062824
"3689",1998,"LA","Total Electric Power Industry","Natural Gas",44975196
"3690",1998,"LA","Total Electric Power Industry","Nuclear",16427501
"3694",1998,"LA","Total Electric Power Industry","Petroleum",2293520
"3695",1998,"LA","Total Electric Power Industry","Wood",2718474
"3696",1998,"MA","Total Electric Power Industry","Total",45683616
"3697",1998,"MA","Total Electric Power Industry","Coal",11199758
"3698",1998,"MA","Total Electric Power Industry","Hydro",1029741
"3699",1998,"MA","Total Electric Power Industry","Natural Gas",11621828
"3700",1998,"MA","Total Electric Power Industry","Nuclear",5698414
"3702",1998,"MA","Total Electric Power Industry","Petroleum",14534366
"3704",1998,"MA","Total Electric Power Industry","Wind",0
"3705",1998,"MA","Total Electric Power Industry","Wood",118028
"3706",1998,"MD","Total Electric Power Industry","Total",50653017
"3707",1998,"MD","Total Electric Power Industry","Coal",29294727
"3708",1998,"MD","Total Electric Power Industry","Hydro",1739737
"3709",1998,"MD","Total Electric Power Industry","Natural Gas",1990596
"3710",1998,"MD","Total Electric Power Industry","Nuclear",13330598
"3713",1998,"MD","Total Electric Power Industry","Petroleum",3454350
"3714",1998,"MD","Total Electric Power Industry","Wood",155647
"3715",1998,"ME","Total Electric Power Industry","Total",11003317
"3716",1998,"ME","Total Electric Power Industry","Coal",588362
"3717",1998,"ME","Total Electric Power Industry","Hydro",3715966
"3718",1998,"ME","Total Electric Power Industry","Natural Gas",3369
"3719",1998,"ME","Total Electric Power Industry","Nuclear",0
"3722",1998,"ME","Total Electric Power Industry","Petroleum",3145163
"3723",1998,"ME","Total Electric Power Industry","Wood",2746817
"3724",1998,"MI","Total Electric Power Industry","Total",100477394
"3725",1998,"MI","Total Electric Power Industry","Coal",70472657
"3726",1998,"MI","Total Electric Power Industry","Hydro",1397118
"3727",1998,"MI","Total Electric Power Industry","Natural Gas",13085180
"3728",1998,"MI","Total Electric Power Industry","Nuclear",12494153
"3732",1998,"MI","Total Electric Power Industry","Petroleum",1171661
"3734",1998,"MI","Total Electric Power Industry","Wind",0
"3735",1998,"MI","Total Electric Power Industry","Wood",1759962
"3736",1998,"MN","Total Electric Power Industry","Total",48017905
"3737",1998,"MN","Total Electric Power Industry","Coal",31806877
"3738",1998,"MN","Total Electric Power Industry","Hydro",954643
"3739",1998,"MN","Total Electric Power Industry","Natural Gas",1596032
"3740",1998,"MN","Total Electric Power Industry","Nuclear",11644106
"3742",1998,"MN","Total Electric Power Industry","Petroleum",667271
"3743",1998,"MN","Total Electric Power Industry","Wind",146852
"3744",1998,"MN","Total Electric Power Industry","Wood",432014
"3745",1998,"MO","Total Electric Power Industry","Total",75187346
"3746",1998,"MO","Total Electric Power Industry","Coal",62726176
"3747",1998,"MO","Total Electric Power Industry","Hydro",2346585
"3748",1998,"MO","Total Electric Power Industry","Natural Gas",1264810
"3749",1998,"MO","Total Electric Power Industry","Nuclear",8516773
"3751",1998,"MO","Total Electric Power Industry","Petroleum",321821
"3753",1998,"MS","Total Electric Power Industry","Total",34409056
"3754",1998,"MS","Total Electric Power Industry","Coal",11779543
"3755",1998,"MS","Total Electric Power Industry","Natural Gas",6576972
"3756",1998,"MS","Total Electric Power Industry","Nuclear",9190528
"3758",1998,"MS","Total Electric Power Industry","Petroleum",5425222
"3759",1998,"MS","Total Electric Power Industry","Wood",1436106
"3760",1998,"MT","Total Electric Power Industry","Total",28460518
"3761",1998,"MT","Total Electric Power Industry","Coal",16784786
"3762",1998,"MT","Total Electric Power Industry","Hydro",11117940
"3763",1998,"MT","Total Electric Power Industry","Natural Gas",55776
"3765",1998,"MT","Total Electric Power Industry","Petroleum",426731
"3766",1998,"MT","Total Electric Power Industry","Wood",44149
"3767",1998,"NC","Total Electric Power Industry","Total",121378824
"3768",1998,"NC","Total Electric Power Industry","Coal",72949463
"3769",1998,"NC","Total Electric Power Industry","Hydro",5738207
"3770",1998,"NC","Total Electric Power Industry","Natural Gas",1284357
"3771",1998,"NC","Total Electric Power Industry","Nuclear",38778211
"3774",1998,"NC","Total Electric Power Industry","Petroleum",691314
"3776",1998,"NC","Total Electric Power Industry","Wood",1533822
"3777",1998,"ND","Total Electric Power Industry","Total",30671951
"3778",1998,"ND","Total Electric Power Industry","Coal",28256860
"3779",1998,"ND","Total Electric Power Industry","Hydro",2295948
"3780",1998,"ND","Total Electric Power Industry","Natural Gas",729
"3783",1998,"ND","Total Electric Power Industry","Petroleum",64524
"3784",1998,"NE","Total Electric Power Industry","Total",28796791
"3785",1998,"NE","Total Electric Power Industry","Coal",18380471
"3786",1998,"NE","Total Electric Power Industry","Hydro",1682834
"3787",1998,"NE","Total Electric Power Industry","Natural Gas",414483
"3788",1998,"NE","Total Electric Power Industry","Nuclear",8258803
"3790",1998,"NE","Total Electric Power Industry","Petroleum",42607
"3791",1998,"NE","Total Electric Power Industry","Wind",0
"3792",1998,"NH","Total Electric Power Industry","Total",16088853
"3793",1998,"NH","Total Electric Power Industry","Coal",3513065
"3794",1998,"NH","Total Electric Power Industry","Hydro",1596748
"3795",1998,"NH","Total Electric Power Industry","Natural Gas",23309
"3796",1998,"NH","Total Electric Power Industry","Nuclear",8387023
"3798",1998,"NH","Total Electric Power Industry","Petroleum",1453854
"3799",1998,"NH","Total Electric Power Industry","Wood",881049
"3800",1998,"NJ","Total Electric Power Industry","Total",53857633
"3801",1998,"NJ","Total Electric Power Industry","Coal",7645226
"3802",1998,"NJ","Total Electric Power Industry","Hydro",20670
"3803",1998,"NJ","Total Electric Power Industry","Natural Gas",16480826
"3804",1998,"NJ","Total Electric Power Industry","Nuclear",27132139
"3808",1998,"NJ","Total Electric Power Industry","Petroleum",729873
"3810",1998,"NM","Total Electric Power Industry","Total",32324069
"3811",1998,"NM","Total Electric Power Industry","Coal",27537426
"3812",1998,"NM","Total Electric Power Industry","Hydro",236412
"3813",1998,"NM","Total Electric Power Industry","Natural Gas",4513549
"3815",1998,"NM","Total Electric Power Industry","Petroleum",27476
"3816",1998,"NV","Total Electric Power Industry","Total",30613520
"3817",1998,"NV","Total Electric Power Industry","Coal",17161341
"3818",1998,"NV","Total Electric Power Industry","Geothermal",1537094
"3819",1998,"NV","Total Electric Power Industry","Hydro",3166325
"3820",1998,"NV","Total Electric Power Industry","Natural Gas",8690829
"3822",1998,"NV","Total Electric Power Industry","Petroleum",51532
"3823",1998,"NY","Total Electric Power Industry","Total",144863248
"3824",1998,"NY","Total Electric Power Industry","Coal",25264780
"3825",1998,"NY","Total Electric Power Industry","Hydro",29315778
"3826",1998,"NY","Total Electric Power Industry","Natural Gas",42471599
"3827",1998,"NY","Total Electric Power Industry","Nuclear",31313708
"3830",1998,"NY","Total Electric Power Industry","Petroleum",14900782
"3832",1998,"NY","Total Electric Power Industry","Wood",485423
"3833",1998,"OH","Total Electric Power Industry","Total",147940057
"3834",1998,"OH","Total Electric Power Industry","Coal",129223181
"3835",1998,"OH","Total Electric Power Industry","Hydro",406427
"3836",1998,"OH","Total Electric Power Industry","Natural Gas",677578
"3837",1998,"OH","Total Electric Power Industry","Nuclear",16475732
"3840",1998,"OH","Total Electric Power Industry","Petroleum",370838
"3841",1998,"OH","Total Electric Power Industry","Wood",600298
"3842",1998,"OK","Total Electric Power Industry","Total",56229243
"3843",1998,"OK","Total Electric Power Industry","Coal",34224030
"3844",1998,"OK","Total Electric Power Industry","Hydro",3508748
"3845",1998,"OK","Total Electric Power Industry","Natural Gas",18301418
"3848",1998,"OK","Total Electric Power Industry","Petroleum",13892
"3850",1998,"OK","Total Electric Power Industry","Wood",218091
"3851",1998,"OR","Total Electric Power Industry","Total",51148484
"3852",1998,"OR","Total Electric Power Industry","Coal",3374622
"3853",1998,"OR","Total Electric Power Industry","Hydro",39902167
"3854",1998,"OR","Total Electric Power Industry","Natural Gas",7250065
"3856",1998,"OR","Total Electric Power Industry","Petroleum",33632
"3857",1998,"OR","Total Electric Power Industry","Wind",19523
"3858",1998,"OR","Total Electric Power Industry","Wood",475849
"3859",1998,"PA","Total Electric Power Industry","Total",191191518
"3860",1998,"PA","Total Electric Power Industry","Coal",116387155
"3861",1998,"PA","Total Electric Power Industry","Hydro",2381352
"3862",1998,"PA","Total Electric Power Industry","Natural Gas",3890017
"3863",1998,"PA","Total Electric Power Industry","Nuclear",61149224
"3867",1998,"PA","Total Electric Power Industry","Petroleum",4506729
"3869",1998,"PA","Total Electric Power Industry","Wood",771592
"3870",1998,"RI","Total Electric Power Industry","Total",7674511
"3871",1998,"RI","Total Electric Power Industry","Coal",0
"3872",1998,"RI","Total Electric Power Industry","Hydro",8676
"3873",1998,"RI","Total Electric Power Industry","Natural Gas",7476374
"3875",1998,"RI","Total Electric Power Industry","Petroleum",78306
"3876",1998,"SC","Total Electric Power Industry","Total",87246561
"3877",1998,"SC","Total Electric Power Industry","Coal",32969699
"3878",1998,"SC","Total Electric Power Industry","Hydro",3569417
"3879",1998,"SC","Total Electric Power Industry","Natural Gas",877465
"3880",1998,"SC","Total Electric Power Industry","Nuclear",48759447
"3884",1998,"SC","Total Electric Power Industry","Petroleum",451663
"3886",1998,"SC","Total Electric Power Industry","Wood",1541870
"3887",1998,"SD","Total Electric Power Industry","Total",9088990
"3888",1998,"SD","Total Electric Power Industry","Coal",3094113
"3889",1998,"SD","Total Electric Power Industry","Hydro",5757600
"3890",1998,"SD","Total Electric Power Industry","Natural Gas",210726
"3891",1998,"SD","Total Electric Power Industry","Petroleum",26551
"3892",1998,"TN","Total Electric Power Industry","Total",97728457
"3893",1998,"TN","Total Electric Power Industry","Coal",56832939
"3894",1998,"TN","Total Electric Power Industry","Hydro",10806028
"3895",1998,"TN","Total Electric Power Industry","Natural Gas",857863
"3896",1998,"TN","Total Electric Power Industry","Nuclear",28387543
"3900",1998,"TN","Total Electric Power Industry","Petroleum",706174
"3902",1998,"TN","Total Electric Power Industry","Wood",595252
"3903",1998,"TX","Total Electric Power Industry","Total",355320164
"3904",1998,"TX","Total Electric Power Industry","Coal",135426025
"3905",1998,"TX","Total Electric Power Industry","Hydro",1424821
"3906",1998,"TX","Total Electric Power Industry","Natural Gas",172143924
"3907",1998,"TX","Total Electric Power Industry","Nuclear",38685129
"3911",1998,"TX","Total Electric Power Industry","Petroleum",1580092
"3912",1998,"TX","Total Electric Power Industry","Solar",134
"3913",1998,"TX","Total Electric Power Industry","Wind",80036
"3914",1998,"TX","Total Electric Power Industry","Wood",1254609
"3915",1998,"US-TOTAL","Total Electric Power Industry","Total",3620295498
"3916",1998,"US-TOTAL","Total Electric Power Industry","Coal",1873515690
"3917",1998,"US-TOTAL","Total Electric Power Industry","Geothermal",14773918
"3918",1998,"US-TOTAL","Total Electric Power Industry","Hydro",323335661
"3919",1998,"US-TOTAL","Total Electric Power Industry","Natural Gas",531257104
"3920",1998,"US-TOTAL","Total Electric Power Industry","Nuclear",673702104
"3924",1998,"US-TOTAL","Total Electric Power Industry","Petroleum",128800173
"3926",1998,"US-TOTAL","Total Electric Power Industry","Solar",502473
"3927",1998,"US-TOTAL","Total Electric Power Industry","Wind",3025696
"3928",1998,"US-TOTAL","Total Electric Power Industry","Wood",36338384
"3929",1998,"UT","Total Electric Power Industry","Total",35910430
"3930",1998,"UT","Total Electric Power Industry","Coal",33587674
"3931",1998,"UT","Total Electric Power Industry","Geothermal",160057
"3932",1998,"UT","Total Electric Power Industry","Hydro",1314711
"3933",1998,"UT","Total Electric Power Industry","Natural Gas",528257
"3935",1998,"UT","Total Electric Power Industry","Petroleum",34948
"3937",1998,"VA","Total Electric Power Industry","Total",72199439
"3938",1998,"VA","Total Electric Power Industry","Coal",34875765
"3939",1998,"VA","Total Electric Power Industry","Hydro",1283295
"3940",1998,"VA","Total Electric Power Industry","Natural Gas",4236745
"3941",1998,"VA","Total Electric Power Industry","Nuclear",27234399
"3944",1998,"VA","Total Electric Power Industry","Petroleum",2926054
"3946",1998,"VA","Total Electric Power Industry","Solar",0
"3947",1998,"VA","Total Electric Power Industry","Wood",1537189
"3948",1998,"VT","Total Electric Power Industry","Total",4946297
"3949",1998,"VT","Total Electric Power Industry","Hydro",1194049
"3950",1998,"VT","Total Electric Power Industry","Natural Gas",827
"3951",1998,"VT","Total Electric Power Industry","Nuclear",3357696
"3952",1998,"VT","Total Electric Power Industry","Petroleum",42295
"3953",1998,"VT","Total Electric Power Industry","Wind",0
"3954",1998,"VT","Total Electric Power Industry","Wood",351430
"3955",1998,"WA","Total Electric Power Industry","Total",102158508
"3956",1998,"WA","Total Electric Power Industry","Coal",9312205
"3957",1998,"WA","Total Electric Power Industry","Hydro",79814652
"3958",1998,"WA","Total Electric Power Industry","Natural Gas",4346349
"3959",1998,"WA","Total Electric Power Industry","Nuclear",6916065
"3963",1998,"WA","Total Electric Power Industry","Petroleum",87043
"3965",1998,"WA","Total Electric Power Industry","Wood",1120311
"3966",1998,"WI","Total Electric Power Industry","Total",56447431
"3967",1998,"WI","Total Electric Power Industry","Coal",41023993
"3968",1998,"WI","Total Electric Power Industry","Hydro",1747424
"3969",1998,"WI","Total Electric Power Industry","Natural Gas",2484275
"3970",1998,"WI","Total Electric Power Industry","Nuclear",9397174
"3972",1998,"WI","Total Electric Power Industry","Petroleum",491495
"3973",1998,"WI","Total Electric Power Industry","Wood",933452
"3974",1998,"WV","Total Electric Power Industry","Total",92822186
"3975",1998,"WV","Total Electric Power Industry","Coal",91213355
"3976",1998,"WV","Total Electric Power Industry","Hydro",1086344
"3977",1998,"WV","Total Electric Power Industry","Natural Gas",184473
"3980",1998,"WV","Total Electric Power Industry","Petroleum",200945
"3981",1998,"WY","Total Electric Power Industry","Total",45347296
"3982",1998,"WY","Total Electric Power Industry","Coal",43504063
"3983",1998,"WY","Total Electric Power Industry","Hydro",1342322
"3984",1998,"WY","Total Electric Power Industry","Natural Gas",368414
"3987",1998,"WY","Total Electric Power Industry","Petroleum",45631
"3988",1998,"WY","Total Electric Power Industry","Wind",2045
"3989",1999,"AK","Total Electric Power Industry","Total",5802308
"3990",1999,"AK","Total Electric Power Industry","Coal",523369
"3991",1999,"AK","Total Electric Power Industry","Hydro",816608
"3992",1999,"AK","Total Electric Power Industry","Natural Gas",3588075
"3993",1999,"AK","Total Electric Power Industry","Petroleum",874256
"3994",1999,"AK","Total Electric Power Industry","Wind",0
"3995",1999,"AL","Total Electric Power Industry","Total",120657508
"3996",1999,"AL","Total Electric Power Industry","Coal",73754727
"3997",1999,"AL","Total Electric Power Industry","Hydro",7759602
"3998",1999,"AL","Total Electric Power Industry","Natural Gas",3348545
"3999",1999,"AL","Total Electric Power Industry","Nuclear",30892394
"4003",1999,"AL","Total Electric Power Industry","Petroleum",316313
"4004",1999,"AL","Total Electric Power Industry","Wood",4282619
"4005",1999,"AR","Total Electric Power Industry","Total",46553939
"4006",1999,"AR","Total Electric Power Industry","Coal",24668807
"4007",1999,"AR","Total Electric Power Industry","Hydro",2694334
"4008",1999,"AR","Total Electric Power Industry","Natural Gas",4542596
"4009",1999,"AR","Total Electric Power Industry","Nuclear",12919550
"4013",1999,"AR","Total Electric Power Industry","Petroleum",159965
"4015",1999,"AR","Total Electric Power Industry","Wood",1560532
"4016",1999,"AZ","Total Electric Power Industry","Total",83893173
"4017",1999,"AZ","Total Electric Power Industry","Coal",38305165
"4018",1999,"AZ","Total Electric Power Industry","Hydro",9758817
"4019",1999,"AZ","Total Electric Power Industry","Natural Gas",5034445
"4020",1999,"AZ","Total Electric Power Industry","Nuclear",30415572
"4022",1999,"AZ","Total Electric Power Industry","Petroleum",50355
"4024",1999,"AZ","Total Electric Power Industry","Solar",0
"4025",1999,"CA","Total Electric Power Industry","Total",188319223
"4026",1999,"CA","Total Electric Power Industry","Coal",2296082
"4027",1999,"CA","Total Electric Power Industry","Geothermal",13045715
"4028",1999,"CA","Total Electric Power Industry","Hydro",40736667
"4029",1999,"CA","Total Electric Power Industry","Natural Gas",85098862
"4030",1999,"CA","Total Electric Power Industry","Nuclear",33371857
"4034",1999,"CA","Total Electric Power Industry","Petroleum",2137916
"4036",1999,"CA","Total Electric Power Industry","Solar",494996
"4037",1999,"CA","Total Electric Power Industry","Wind",3229953
"4038",1999,"CA","Total Electric Power Industry","Wood",3469703
"4039",1999,"CO","Total Electric Power Industry","Total",39521288
"4040",1999,"CO","Total Electric Power Industry","Coal",32877064
"4041",1999,"CO","Total Electric Power Industry","Hydro",1562485
"4042",1999,"CO","Total Electric Power Industry","Natural Gas",4967383
"4044",1999,"CO","Total Electric Power Industry","Petroleum",46235
"4046",1999,"CT","Total Electric Power Industry","Total",28596898
"4047",1999,"CT","Total Electric Power Industry","Coal",1486067
"4048",1999,"CT","Total Electric Power Industry","Hydro",421962
"4049",1999,"CT","Total Electric Power Industry","Natural Gas",3601593
"4050",1999,"CT","Total Electric Power Industry","Nuclear",12675262
"4054",1999,"CT","Total Electric Power Industry","Petroleum",8268315
"4056",1999,"DC","Total Electric Power Industry","Total",230003
"4057",1999,"DC","Total Electric Power Industry","Petroleum",230003
"4058",1999,"DE","Total Electric Power Industry","Total",6851738
"4059",1999,"DE","Total Electric Power Industry","Coal",2834711
"4060",1999,"DE","Total Electric Power Industry","Natural Gas",2242791
"4062",1999,"DE","Total Electric Power Industry","Petroleum",1604551
"4063",1999,"FL","Total Electric Power Industry","Total",187263426
"4064",1999,"FL","Total Electric Power Industry","Coal",67629927
"4065",1999,"FL","Total Electric Power Industry","Hydro",140175
"4066",1999,"FL","Total Electric Power Industry","Natural Gas",43166956
"4067",1999,"FL","Total Electric Power Industry","Nuclear",31526285
"4071",1999,"FL","Total Electric Power Industry","Petroleum",37130630
"4072",1999,"FL","Total Electric Power Industry","Wood",2069361
"4073",1999,"GA","Total Electric Power Industry","Total",117338745
"4074",1999,"GA","Total Electric Power Industry","Coal",75144659
"4075",1999,"GA","Total Electric Power Industry","Hydro",2751174
"4076",1999,"GA","Total Electric Power Industry","Natural Gas",3228769
"4077",1999,"GA","Total Electric Power Industry","Nuclear",31478122
"4080",1999,"GA","Total Electric Power Industry","Petroleum",1562467
"4082",1999,"GA","Total Electric Power Industry","Wood",3165459
"4083",1999,"HI","Total Electric Power Industry","Total",10403926
"4084",1999,"HI","Total Electric Power Industry","Coal",1440245
"4085",1999,"HI","Total Electric Power Industry","Geothermal",210857
"4086",1999,"HI","Total Electric Power Industry","Hydro",114902
"4089",1999,"HI","Total Electric Power Industry","Petroleum",7995322
"4090",1999,"HI","Total Electric Power Industry","Wind",16494
"4091",1999,"IA","Total Electric Power Industry","Total",38801481
"4092",1999,"IA","Total Electric Power Industry","Coal",33154236
"4093",1999,"IA","Total Electric Power Industry","Hydro",945622
"4094",1999,"IA","Total Electric Power Industry","Natural Gas",507375
"4095",1999,"IA","Total Electric Power Industry","Nuclear",3640258
"4097",1999,"IA","Total Electric Power Industry","Petroleum",136453
"4098",1999,"IA","Total Electric Power Industry","Wind",326354
"4099",1999,"IA","Total Electric Power Industry","Wood",606
"4100",1999,"ID","Total Electric Power Industry","Total",14436648
"4101",1999,"ID","Total Electric Power Industry","Coal",51887
"4102",1999,"ID","Total Electric Power Industry","Hydro",13499151
"4103",1999,"ID","Total Electric Power Industry","Natural Gas",331610
"4105",1999,"ID","Total Electric Power Industry","Petroleum",244
"4106",1999,"ID","Total Electric Power Industry","Wood",472685
"4107",1999,"IL","Total Electric Power Industry","Total",163410520
"4108",1999,"IL","Total Electric Power Industry","Coal",75089527
"4109",1999,"IL","Total Electric Power Industry","Hydro",142094
"4110",1999,"IL","Total Electric Power Industry","Natural Gas",4996528
"4111",1999,"IL","Total Electric Power Industry","Nuclear",81743889
"4115",1999,"IL","Total Electric Power Industry","Petroleum",400486
"4116",1999,"IL","Total Electric Power Industry","Wood",266
"4117",1999,"IN","Total Electric Power Industry","Total",121764501
"4118",1999,"IN","Total Electric Power Industry","Coal",115209205
"4119",1999,"IN","Total Electric Power Industry","Hydro",406974
"4120",1999,"IN","Total Electric Power Industry","Natural Gas",2109121
"4124",1999,"IN","Total Electric Power Industry","Petroleum",920457
"4125",1999,"KS","Total Electric Power Industry","Total",42070230
"4126",1999,"KS","Total Electric Power Industry","Coal",29649100
"4127",1999,"KS","Total Electric Power Industry","Hydro",12367
"4128",1999,"KS","Total Electric Power Industry","Natural Gas",2940799
"4129",1999,"KS","Total Electric Power Industry","Nuclear",9156619
"4130",1999,"KS","Total Electric Power Industry","Petroleum",311345
"4131",1999,"KY","Total Electric Power Industry","Total",92681908
"4132",1999,"KY","Total Electric Power Industry","Coal",89522933
"4133",1999,"KY","Total Electric Power Industry","Hydro",2556572
"4134",1999,"KY","Total Electric Power Industry","Natural Gas",462510
"4135",1999,"KY","Total Electric Power Industry","Petroleum",127484
"4136",1999,"KY","Total Electric Power Industry","Wood",12409
"4137",1999,"LA","Total Electric Power Industry","Total",89941753
"4138",1999,"LA","Total Electric Power Industry","Coal",21182104
"4139",1999,"LA","Total Electric Power Industry","Hydro",801826
"4140",1999,"LA","Total Electric Power Industry","Natural Gas",47998719
"4141",1999,"LA","Total Electric Power Industry","Nuclear",13111604
"4145",1999,"LA","Total Electric Power Industry","Petroleum",1932461
"4146",1999,"LA","Total Electric Power Industry","Wood",2734598
"4147",1999,"MA","Total Electric Power Industry","Total",40575392
"4148",1999,"MA","Total Electric Power Industry","Coal",11169847
"4149",1999,"MA","Total Electric Power Industry","Hydro",974568
"4150",1999,"MA","Total Electric Power Industry","Natural Gas",11104399
"4151",1999,"MA","Total Electric Power Industry","Nuclear",4518426
"4153",1999,"MA","Total Electric Power Industry","Petroleum",11241950
"4155",1999,"MA","Total Electric Power Industry","Wind",0
"4156",1999,"MA","Total Electric Power Industry","Wood",97449
"4157",1999,"MD","Total Electric Power Industry","Total",51685621
"4158",1999,"MD","Total Electric Power Industry","Coal",29687655
"4159",1999,"MD","Total Electric Power Industry","Hydro",1424197
"4160",1999,"MD","Total Electric Power Industry","Natural Gas",2125193
"4161",1999,"MD","Total Electric Power Industry","Nuclear",13312335
"4164",1999,"MD","Total Electric Power Industry","Petroleum",4290788
"4165",1999,"MD","Total Electric Power Industry","Wood",171088
"4166",1999,"ME","Total Electric Power Industry","Total",12673929
"4167",1999,"ME","Total Electric Power Industry","Coal",494407
"4168",1999,"ME","Total Electric Power Industry","Hydro",3755956
"4169",1999,"ME","Total Electric Power Industry","Natural Gas",80735
"4172",1999,"ME","Total Electric Power Industry","Petroleum",4711421
"4173",1999,"ME","Total Electric Power Industry","Wood",3099133
"4174",1999,"MI","Total Electric Power Industry","Total",103239715
"4175",1999,"MI","Total Electric Power Industry","Coal",70404994
"4176",1999,"MI","Total Electric Power Industry","Hydro",1458333
"4177",1999,"MI","Total Electric Power Industry","Natural Gas",13513755
"4178",1999,"MI","Total Electric Power Industry","Nuclear",14590711
"4182",1999,"MI","Total Electric Power Industry","Petroleum",1484354
"4184",1999,"MI","Total Electric Power Industry","Wind",0
"4185",1999,"MI","Total Electric Power Industry","Wood",1740491
"4186",1999,"MN","Total Electric Power Industry","Total",48519379
"4187",1999,"MN","Total Electric Power Industry","Coal",30188125
"4188",1999,"MN","Total Electric Power Industry","Hydro",1178933
"4189",1999,"MN","Total Electric Power Industry","Natural Gas",1427272
"4190",1999,"MN","Total Electric Power Industry","Nuclear",13315562
"4192",1999,"MN","Total Electric Power Industry","Petroleum",700147
"4193",1999,"MN","Total Electric Power Industry","Wind",485692
"4194",1999,"MN","Total Electric Power Industry","Wood",493027
"4195",1999,"MO","Total Electric Power Industry","Total",73815710
"4196",1999,"MO","Total Electric Power Industry","Coal",61507298
"4197",1999,"MO","Total Electric Power Industry","Hydro",1853065
"4198",1999,"MO","Total Electric Power Industry","Natural Gas",1626808
"4199",1999,"MO","Total Electric Power Industry","Nuclear",8586646
"4201",1999,"MO","Total Electric Power Industry","Petroleum",293172
"4203",1999,"MS","Total Electric Power Industry","Total",34844972
"4204",1999,"MS","Total Electric Power Industry","Coal",13042293
"4205",1999,"MS","Total Electric Power Industry","Natural Gas",8792443
"4206",1999,"MS","Total Electric Power Industry","Nuclear",8428216
"4207",1999,"MS","Total Electric Power Industry","Petroleum",3145053
"4208",1999,"MS","Total Electric Power Industry","Wood",1436967
"4209",1999,"MT","Total Electric Power Industry","Total",31419334
"4210",1999,"MT","Total Electric Power Industry","Coal",16993155
"4211",1999,"MT","Total Electric Power Industry","Hydro",13822062
"4212",1999,"MT","Total Electric Power Industry","Natural Gas",36606
"4214",1999,"MT","Total Electric Power Industry","Petroleum",486959
"4215",1999,"MT","Total Electric Power Industry","Wood",49946
"4216",1999,"NC","Total Electric Power Industry","Total",117357615
"4217",1999,"NC","Total Electric Power Industry","Coal",72255506
"4218",1999,"NC","Total Electric Power Industry","Hydro",3684186
